Song,Quadrant
A004,Q3
A014,Q1
A020,Q2
A022,Q1
A024,Q1
A029,Q3
A047,Q1
A058,Q4
A068-167,Q2
A073-143,Q3
A082-93,Q2
A090-94,Q2
A091-95,Q2
A095-113,Q1
A105-117,Q1
A109-138,Q4
A111-141,Q4
A116-135,Q2
A117-76,Q3
A119-151,Q4
A120-168,Q4
A126-77,Q3
A131-101,Q2
A132-121,Q1
A140-166,Q2
A141-139,Q4
A147-169,Q2
A157-71,Q3
A159-164,Q2
A162,Q1
A165,Q4
A166,Q1
A170,Q3
A171,Q3
A174,Q2
A179,Q4
A186,Q4
A188,Q3
A190,Q4
A192,Q4
A195,Q3
MT0000004637,Q3
MT0000010219,Q3
MT0000010844,Q4
MT0000022993,Q3
MT0000026571,Q4
MT0000030834,Q4
MT0000042939,Q2
MT0000048600,Q4
MT0000062500,Q3
MT0000063684,Q4
MT0000069357,Q4
MT0000074128,Q3
MT0000086233,Q3
MT0000089238,Q2
MT0000089410,Q4
MT0000092267,Q4
MT0000093583,Q1
MT0000097008,Q4
MT0000097948,Q4
MT0000098581,Q3
MT0000104363,Q1
MT0000109716,Q4
MT0000110175,Q1
MT0000113311,Q1
MT0000117176,Q4
MT0000123853,Q3
MT0000135916,Q4
MT0000145509,Q2
MT0000153970,Q2
MT0000161127,Q1
MT0000162219,Q3
MT0000169174,Q2
MT0000169836,Q2
MT0000171421,Q3
MT0000177451,Q3
MT0000186467,Q2
MT0000190640,Q2
MT0000192015,Q4
MT0000203193,Q4
MT0000203272,Q3
MT0000204016,Q1
MT0000213542,Q4
MT0000222773,Q4
MT0000231442,Q2
MT0000235880,Q4
MT0000258646,Q2
MT0000271454,Q1
MT0000271970,Q2
MT0000272906,Q2
MT0000283043,Q2
MT0000287921,Q2
MT0000289116,Q3
MT0000300896,Q3
MT0000317770,Q1
MT0000318279,Q4
MT0000321394,Q2
MT0000336135,Q4
MT0000344141,Q1
MT0000348835,Q4
MT0000379144,Q3
MT0000380971,Q3
MT0000392975,Q1
MT0000401600,Q1
MT0000408441,Q3
MT0000425270,Q2
MT0000426771,Q3
MT0000434716,Q1
MT0000442827,Q1
MT0000447539,Q4
MT0000460427,Q4
MT0000481003,Q1
MT0000481304,Q4
MT0000483039,Q4
MT0000487439,Q3
MT0000495176,Q2
MT0000522450,Q1
MT0000522938,Q2
MT0000523576,Q4
MT0000524741,Q4
MT0000549945,Q4
MT0000573766,Q2
MT0000576231,Q2
MT0000581530,Q1
MT0000631491,Q4
MT0000638424,Q4
MT0000642549,Q2
MT0000672880,Q1
MT0000682947,Q2
MT0000685538,Q3
MT0000694316,Q2
MT0000698081,Q4
MT0000704913,Q1
MT0000710146,Q4
MT0000711493,Q4
MT0000716124,Q1
MT0000723464,Q4
MT0000729701,Q2
MT0000732206,Q4
MT0000735056,Q2
MT0000737624,Q1
MT0000741489,Q2
MT0000772749,Q1
MT0000773391,Q1
MT0000778102,Q2
MT0000796526,Q3
MT0000807741,Q1
MT0000811743,Q3
MT0000821772,Q4
MT0000826010,Q1
MT0000834505,Q2
MT0000852582,Q2
MT0000854722,Q1
MT0000857091,Q3
MT0000863543,Q1
MT0000865478,Q1
MT0000886723,Q3
MT0000895003,Q2
MT0000897883,Q1
MT0000900387,Q2
MT0000900995,Q4
MT0000906888,Q4
MT0000910270,Q2
MT0000913916,Q4
MT0000934613,Q2
MT0000936370,Q1
MT0000945118,Q4
MT0000948111,Q1
MT0000949813,Q3
MT0000972004,Q2
MT0000973218,Q2
MT0000975216,Q2
MT0000980148,Q4
MT0000982297,Q1
MT0000984023,Q2
MT0001016068,Q3
MT0001026170,Q1
MT0001030436,Q3
MT0001062974,Q2
MT0001068364,Q3
MT0001069996,Q4
MT0001082164,Q1
MT0001084055,Q4
MT0001084444,Q1
MT0001094338,Q4
MT0001095298,Q3
MT0001102610,Q3
MT0001108070,Q4
MT0001115644,Q3
MT0001134958,Q3
MT0001135075,Q1
MT0001152165,Q4
MT0001156310,Q3
MT0001157069,Q3
MT0001169715,Q1
MT0001227219,Q4
MT0001234946,Q1
MT0001236649,Q1
MT0001253889,Q3
MT0001276044,Q2
MT0001284801,Q3
MT0001287647,Q2
MT0001289749,Q1
MT0001292451,Q1
MT0001301827,Q4
MT0001309422,Q3
MT0001318718,Q1
MT0001328889,Q2
MT0001339839,Q3
MT0001340527,Q3
MT0001340713,Q1
MT0001347462,Q4
MT0001356637,Q3
MT0001370627,Q4
MT0001376988,Q2
MT0001377742,Q2
MT0001380360,Q2
MT0001394087,Q4
MT0001395462,Q3
MT0001397431,Q2
MT0001415729,Q2
MT0001417252,Q4
MT0001418045,Q1
MT0001419145,Q2
MT0001440624,Q3
MT0001459810,Q2
MT0001472536,Q3
MT0001473110,Q2
MT0001474073,Q3
MT0001477169,Q4
MT0001486960,Q1
MT0001494267,Q3
MT0001497191,Q1
MT0001504929,Q1
MT0001510617,Q2
MT0001514284,Q1
MT0001515028,Q4
MT0001515531,Q3
