Song,Quadrant
MT0003970870,Q3
MT0008999898,Q3
MT0003189890,Q3
MT0003320924,Q3
MT0012067911,Q3
MT0000031210,Q3
MT0010862394,Q3
MT0004869271,Q3
MT0004184616,Q3
MT0002142155,Q3
MT0011398970,Q3
MT0002336535,Q3
MT0001331047,Q3
MT0008953247,Q3
MT0001277283,Q3
MT0009495280,Q3
MT0006522591,Q3
MT0001362313,Q3
MT0034549623,Q3
MT0016976154,Q3
MT0003748227,Q3
MT0001095298,Q3
MT0012844418,Q3
MT0028593700,Q3
MT0004798790,Q3
MT0004397754,Q3
MT0004548391,Q3
MT0009008051,Q3
MT0002485672,Q3
MT0004514306,Q3
MT0007730975,Q3
MT0005023904,Q3
MT0005963165,Q3
MT0004829377,Q3
MT0008327012,Q3
MT0003336370,Q3
MT0009464817,Q3
MT0004936799,Q3
MT0001453285,Q3
MT0033319941,Q3
MT0006713730,Q3
MT0026811443,Q3
MT0001547111,Q3
MT0001972380,Q3
MT0011095825,Q3
MT0011827018,Q3
MT0009220462,Q3
MT0004476235,Q3
MT0005330350,Q3
MT0003878494,Q3
MT0005740567,Q3
MT0006397809,Q3
MT0010375510,Q3
MT0016469828,Q3
MT0010739708,Q3
MT0004781165,Q3
MT0002784741,Q3
MT0000685538,Q3
MT0001134958,Q3
MT0009385684,Q3
MT0008883788,Q3
MT0000408441,Q3
MT0000277633,Q3
MT0028915582,Q3
MT0003909053,Q3
MT0005593407,Q3
MT0001862892,Q3
MT0033345959,Q3
MT0011677264,Q3
MT0004500770,Q3
MT0001673884,Q3
MT0005111463,Q3
MT0013764945,Q3
MT0012035583,Q3
MT0011741035,Q3
MT0003655884,Q4
MT0010702898,Q4
MT0004776609,Q4
MT0008740787,Q4
MT0031375281,Q4
MT0000103049,Q4
MT0001729778,Q4
MT0000066421,Q4
MT0031912859,Q4
MT0011395375,Q4
MT0000638634,Q4
MT0028798502,Q4
MT0033397942,Q4
MT0009246394,Q4
MT0002969144,Q4
MT0007064420,Q4
MT0000089410,Q4
MT0002438908,Q4
MT0015506741,Q4
MT0000549945,Q4
MT0010290775,Q4
MT0041030749,Q4
MT0034577404,Q4
MT0006324704,Q4
MT0001109401,Q4
MT0003909575,Q4
MT0000273374,Q4
MT0003228768,Q4
MT0001301827,Q4
MT0030481692,Q4
MT0001152165,Q4
MT0033493473,Q4
MT0014826870,Q4
MT0007282148,Q4
MT0032001427,Q4
MT0030212531,Q4
MT0028228337,Q4
MT0012862507,Q4
MT0030006612,Q4
MT0016887233,Q4
MT0006955716,Q4
MT0001020011,Q4
MT0001121577,Q4
MT0032405359,Q4
MT0009795009,Q4
MT0001927474,Q4
MT0003732702,Q4
MT0010512527,Q4
MT0009112823,Q4
MT0033987987,Q4
MT0003081304,Q4
MT0015026293,Q4
MT0006983241,Q4
MT0007053424,Q4
MT0011776369,Q4
MT0010534904,Q4
MT0013176970,Q4
MT0004725201,Q4
MT0003922883,Q4
MT0034225020,Q4
MT0028752173,Q4
MT0013193016,Q4
MT0003354468,Q4
MT0010545132,Q4
MT0034706827,Q4
MT0005830128,Q4
MT0013676763,Q4
MT0005656534,Q4
MT0028753982,Q4
MT0002216668,Q4
MT0028569169,Q4
MT0001058887,Q4
MT0010670378,Q4
MT0033818006,Q4
MT0005158273,Q4
MT0008385501,Q2
MT0009635389,Q2
MT0010100277,Q2
MT0002396250,Q2
MT0000270200,Q2
MT0008350331,Q2
MT0028172888,Q2
MT0000874482,Q2
MT0014838459,Q2
MT0011348776,Q2
MT0000231784,Q2
MT0012001409,Q2
MT0006365604,Q2
MT0001641165,Q2
MT0013979875,Q2
MT0003774577,Q2
MT0002549944,Q2
MT0014790813,Q2
MT0011374266,Q2
MT0003968586,Q2
MT0015034564,Q2
MT0033155511,Q2
MT0003262589,Q2
MT0000316110,Q2
MT0004811602,Q2
MT0000984023,Q2
MT0006067841,Q2
MT0007825188,Q2
MT0007806202,Q2
MT0006434833,Q2
MT0007832902,Q2
MT0005287506,Q2
MT0008806305,Q2
MT0005319891,Q2
MT0002252353,Q2
MT0003224500,Q2
MT0004674397,Q2
MT0005673020,Q2
MT0014997916,Q2
MT0026990793,Q2
MT0032957418,Q2
MT0007349422,Q2
MT0007663424,Q2
MT0032050779,Q2
MT0001889075,Q2
MT0005652563,Q2
MT0009635394,Q2
MT0032651589,Q2
MT0001595082,Q2
MT0028405583,Q2
MT0003094118,Q2
MT0010310891,Q2
MT0010736281,Q2
MT0013087767,Q2
MT0010526041,Q2
MT0003294608,Q2
MT0001321861,Q2
MT0005567133,Q2
MT0034991842,Q2
MT0011943549,Q2
MT0039250520,Q2
MT0005223794,Q2
MT0026681751,Q2
MT0012645597,Q2
MT0020034314,Q2
MT0016743722,Q2
MT0007939281,Q2
MT0002939380,Q2
MT0010857270,Q2
MT0028623145,Q2
MT0008307905,Q2
MT0007071481,Q2
MT0005822671,Q2
MT0028798040,Q2
MT0028167155,Q2
MT0014553025,Q1
MT0003603772,Q1
MT0001486960,Q1
MT0002351905,Q1
MT0004020993,Q1
MT0008046899,Q1
MT0002709704,Q1
MT0007329488,Q1
MT0032235381,Q1
MT0003617309,Q1
MT0007132421,Q1
MT0034677542,Q1
MT0009041848,Q1
MT0008345160,Q1
MT0003248394,Q1
MT0011924930,Q1
MT0000128573,Q1
MT0002078701,Q1
MT0026930415,Q1
MT0005713768,Q1
MT0001521543,Q1
MT0011920419,Q1
MT0015005100,Q1
MT0002362108,Q1
MT0007350911,Q1
MT0006633147,Q1
MT0011487003,Q1
MT0012933678,Q1
MT0013678986,Q1
MT0008966305,Q1
MT0027797339,Q1
MT0010394619,Q1
MT0002006862,Q1
MT0030248025,Q1
MT0001153847,Q1
MT0004943985,Q1
MT0009153900,Q1
MT0001189913,Q1
MT0034125967,Q1
MT0002595792,Q1
MT0002532237,Q1
MT0009188643,Q1
MT0005265641,Q1
MT0032892262,Q1
MT0004506984,Q1
MT0013906090,Q1
MT0006431184,Q1
MT0006747288,Q1
MT0006188933,Q1
MT0008363839,Q1
MT0015028144,Q1
MT0008537015,Q1
MT0032701682,Q1
MT0004113262,Q1
MT0007037296,Q1
MT0010065680,Q1
MT0006771406,Q1
MT0002700026,Q1
MT0018450519,Q1
MT0012023721,Q1
MT0011933875,Q1
MT0030362299,Q1
MT0000045345,Q1
MT0000080053,Q1
MT0005715715,Q1
MT0005523766,Q1
MT0000546446,Q1
MT0016918508,Q1
MT0005666606,Q1
MT0014082915,Q1
MT0004338270,Q1
MT0031834881,Q1
MT0002645049,Q1
MT0009904717,Q1
MT0003536193,Q1
MT0002355423,Q4
MT0013115311,Q4
A021,Q4
A067-104,Q4
MT0015709701,Q4
MT0004828213,Q4
MT0031886830,Q4
MT0000213542,Q4
A134-142,Q4
MT0010083757,Q4
MT0003691487,Q4
MT0017672677,Q4
MT0005697785,Q4
MT0003012633,Q4
MT0013208607,Q4
MT0000235880,Q4
MT0026973618,Q4
MT0007412921,Q4
MT0005782528,Q4
MT0011895175,Q4
MT0006610139,Q4
MT0005987148,Q4
MT0006777027,Q4
MT0010842738,Q4
MT0012330276,Q4
MT0007828167,Q4
MT0000436815,Q4
MT0030494794,Q4
MT0032628164,Q4
MT0000630628,Q4
MT0001463745,Q4
MT0000793161,Q4
MT0028414490,Q4
MT0000723464,Q4
MT0008640627,Q4
MT0013401931,Q4
MT0010984486,Q4
MT0035000258,Q4
MT0007232134,Q4
MT0004759106,Q4
MT0028596249,Q4
MT0013299412,Q4
MT0011922905,Q4
MT0010855214,Q4
MT0012505137,Q4
MT0000277032,Q4
MT0003740052,Q4
MT0000638424,Q4
MT0008548050,Q4
