Song,Quadrant
L001-141,Q4
L002-157,Q3
L004-120,Q1
L005-84,Q1
L006-135,Q2
L007-76,Q3
L008-146,Q3
L009-151,Q4
L010-168,Q4
L011-156,Q4
L012-81,Q1
L013-159,Q3
L014-137,Q4
L015-160,Q3
L016-77,Q3
L018-109,Q1
L021-101,Q2
L022-121,Q1
L024-142,Q4
L026-97,Q2
L027-153,Q4
L030-166,Q2
L031-139,Q4
L032-98,Q2
L033-72,Q3
L034-79,Q3
L035-134,Q4
L037-169,Q2
L040-132,Q2
L041-172,Q2
L043-130,Q1
L044-107,Q1
L045-145,Q1
L046-147,Q3
L047-71,Q3
L048-163,Q3
L049-164,Q2
L050-149,Q1
L051,Q4
L052,Q4
L053,Q3
L054,Q3
L055,Q1
L058,Q2
L059,Q1
L060,Q2
L061,Q1
L063,Q2
L064,Q1
L065,Q2
L066,Q3
L067,Q4
L068,Q3
L069,Q1
L070,Q2
L071,Q4
L072,Q1
L074,Q1
L075,Q2
L076,Q2
L078,Q2
L079,Q3
L080,Q4
L082,Q4
L083,Q4
L084,Q3
L085,Q3
L087,Q4
L088,Q3
L089,Q1
L090,Q1
L091,Q4
L093,Q1
L095,Q3
L096,Q3
L097,Q1
L098,Q3
L099,Q2
L100,Q1
L101,Q2
L102,Q2
L103,Q4
L104,Q3
L105,Q2
L107,Q1
L108,Q4
L109,Q3
L110,Q3
L111-66,Q3
L112-170,Q2
L113-90,Q4
L114-116,Q1
L115-161,Q3
L116-140,Q4
L117-104,Q4
L118-167,Q2
L121-70,Q3
L122-148,Q4
L123-143,Q3
L124-91,Q2
L125-128,Q2
L126-83,Q4
L127-122,Q1
L128-173,Q4
L130-92,Q2
L131-67,Q3
L132-93,Q2
L133-158,Q3
L134-75,Q3
L135-69,Q3
L136-123,Q1
L137-165,Q2
L138-136,Q4
L140-94,Q2
L141-95,Q2
L142-96,Q1
L144-110,Q1
L145-113,Q1
L146-68,Q3
L147-152,Q3
L148-154,Q4
L149-106,Q3
L150-124,Q1
L151-111,Q1
L152-114,Q1
L153-99,Q2
L154-119,Q1
L155-117,Q1
L156-100,Q3
L157-115,Q1
L159-138,Q4
L160-155,Q1
L161,Q4
L162,Q1
L163,Q3
L164,Q4
L165,Q4
L166,Q1
L167,Q1
L168,Q4
L169,Q4
L170,Q3
L171,Q3
L172,Q2
L174,Q2
L175,Q3
L176,Q2
L177,Q2
L178,Q4
L179,Q4
L180,Q4
L181,Q3
L182,Q2
L183,Q2
L184,Q3
L185,Q3
L186,Q4
L187,Q1
L188,Q3
L189,Q4
L190,Q4
L191,Q3
L192,Q4
L193,Q2
L194,Q2
L195,Q3
L196,Q1
L197,Q4
L199,Q3
L200,Q3
MT0000008995,Q3
MT0000022649,Q3
MT0000024499,Q3
MT0000027422,Q3
MT0000030834,Q4
MT0000034999,Q3
MT0000038502,Q2
MT0000042939,Q2
MT0000043184,Q3
MT0000045773,Q3
MT0000048600,Q4
MT0000054766,Q3
MT0000063684,Q4
MT0000066236,Q2
MT0000067251,Q3
MT0000082188,Q3
MT0000086428,Q3
MT0000089238,Q2
MT0000092637,Q3
MT0000093583,Q1
MT0000097948,Q4
MT0000105492,Q1
MT0000106285,Q4
MT0000111068,Q3
MT0000117176,Q4
MT0000119987,Q1
MT0000124779,Q3
MT0000135916,Q4
MT0000139242,Q1
MT0000143859,Q4
MT0000144160,Q4
MT0000144424,Q2
MT0000145509,Q2
MT0000146966,Q1
MT0000147182,Q4
MT0000147647,Q2
MT0000151451,Q4
MT0000151529,Q3
MT0000153361,Q3
MT0000162219,Q3
MT0000169174,Q2
MT0000169836,Q2
MT0000171421,Q3
MT0000171852,Q3
MT0000174580,Q1
MT0000177878,Q4
MT0000185453,Q3
MT0000186467,Q2
MT0000190640,Q2
MT0000191766,Q1
MT0000192913,Q3
MT0000197431,Q1
MT0000225806,Q1
MT0000231442,Q2
MT0000239675,Q4
MT0000245808,Q1
MT0000252574,Q1
MT0000258223,Q4
MT0000267636,Q3
MT0000268701,Q4
MT0000271454,Q1
MT0000271970,Q2
MT0000277032,Q4
MT0000287606,Q4
MT0000287921,Q2
MT0000289116,Q3
MT0000292000,Q4
MT0000293345,Q3
MT0000299291,Q3
MT0000312152,Q3
MT0000315363,Q1
MT0000315392,Q3
MT0000318279,Q4
MT0000320757,Q3
