Song,Quadrant,Title,Genres
L001-141,Q4,Moon Song,
L002-157,Q3,Mother,"Singer/Songwriter,Rock & Roll,Album Rock,Pop/Rock"
L004-120,Q1,Never too Much,"R&B,Quiet Storm,Urban"
L005-84,Q1,"New York, New York","Show Tunes,Stage & Screen,Cast Recordings,Traditional Pop,Vocal,Vocal Pop"
L006-135,Q2,Nightmare,
L007-76,Q3,Nothing Compares 2 U,"Contemporary Pop/Rock,Adult Contemporary,Adult Alternative Pop/Rock,Pop/Rock,Alternative/Indie Rock"
L008-146,Q3,Ode to my Family,"Contemporary Pop/Rock,Alternative Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock"
L009-151,Q4,On An Ocean,
L010-168,Q4,Paint the Sky with Stars,"International, New Age, Pop/Rock"
L011-156,Q4,Penny Lane,"Early Pop/Rock,Pop/Rock,Psychedelic/Garage,Contemporary Pop/Rock,British Psychedelia"
L012-81,Q1,Love is in the air,"Pop/Rock, R&B"
L013-159,Q3,Quiet,Pop/Rock
L014-137,Q4,Quiet Nights,"International,Brazilian Traditions,Bossa Nova"
L015-160,Q3,Rainy Day Lament,
L016-77,Q3,Sacrifice,
L017-133,Q2,Serial Killer,"Heavy Metal,Hard Rock,Pop/Rock"
L018-109,Q1,Single Ladies,"Pop,Contemporary R&B,R&B"
L020-162,Q3,Song for a Blue Guitar,"Alternative/Indie Rock,Sadcore,Dream Pop,Alternative Pop/Rock,Pop/Rock"
L021-101,Q2,Spill Your Blood,
L022-121,Q1,Staying Alive,
L024-142,Q4,Sunrise,"Alternative/Indie Rock,Pop/Rock,Adult Alternative Pop/Rock"
L025-86,Q4,Sweet Harmony,"Alternative Pop/Rock,Club/Dance,Alternative/Indie Rock,Alternative Dance,Pop/Rock"
L026-97,Q2,Take my Scars,"Pop/Rock,Heavy Metal,Alternative Metal"
L027-153,Q4,Thank you Stars,"Jazz Blues,Vocal Jazz,Jazz,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
L028-150,Q3,Drive,"Pop/Rock,New Wave,Punk/New Wave"
L030-166,Q2,The Bleeding,Pop/Rock
L031-139,Q4,The Boy from Ipanema,
L032-98,Q2,The Enemy Inside,"Neo-Prog,Prog-Rock"
L033-72,Q3,Angel,"Alternative/Indie Rock,Pop/Rock,Adult Alternative Pop/Rock"
L034-79,Q3,Another Lonely Day,"Alternative/Indie Rock,Adult Alternative Pop/Rock,Contemporary Singer/Songwriter,American Trad Rock"
