Song,cluster,Title,Quadrant
MT0000008995,1,You're Too Lovely to Last,Q3
MT0000011357,0,Reborn in Blasphemy,Q2
MT0000026571,1,Till the End of Time,Q4
MT0000027422,0,Uncertain Weather,Q3
MT0000030834,1,Crazy He Calls Me,Q4
MT0000031210,1,Without Your Love,Q3
MT0000038502,0,Fetesque,Q2
MT0000040773,1,Beer Barrel Polka,Q1
MT0000042939,0,The Foetus of a New Day Kicking,Q2
MT0000043184,1,God Won't Get You,Q3
MT0000044741,1,Last Night,Q3
MT0000045345,1,I Love You,Q1
MT0000048600,1,"Green, Green Grass of Home",Q4
MT0000059269,1,Mexicali Rose,Q3
MT0000063684,1,You Ain't Goin' Nowhere,Q4
MT0000066236,0,My Rules,Q2
MT0000066421,1,Talk to Me,Q4
MT0000080053,1,Honky Tonk Merry-Go Round,Q1
MT0000082188,1,Ive Been Wrong Before,Q3
MT0000089238,0,Salutations,Q2
MT0000089410,1,The Shadow of Your Smile,Q4
MT0000091401,0,Pink Pedal Pushers,Q1
MT0000091781,1,Love in the Afternoon,Q3
MT0000092637,1,Cryin' Mood,Q3
MT0000093583,1,Come 2 Me,Q1
MT0000095414,1,Onde Estas,Q3
MT0000097948,1,"Baby, Baby All the Time",Q4
MT0000103049,1,Just a Closer Walk With Thee,Q4
MT0000103874,1,Love Song,Q1
MT0000105492,1,Oh Yes,Q1
MT0000117176,1,Stardust,Q4
MT0000119701,1,Too Marvelous for Words,Q4
MT0000119987,0,Glamorous,Q1
MT0000124779,1,This Mess We're In,Q3
MT0000128573,1,Here Comes Santa Claus,Q1
MT0000133200,1,Rats!Rats!Rats!,Q2
MT0000135916,1,Silver Bells,Q4
MT0000144160,1,It's So Close to Christmas (And I'm So Far from Home),Q4
MT0000145509,0,Running Out of Time,Q2
MT0000146284,1,Willingly,Q4
MT0000146966,1,Shake Your Moneymaker,Q1
MT0000147182,1,Pearl of the Quarter,Q4
MT0000151451,1,Love You 'Till the End,Q4
MT0000151529,0,Pancho and Lefty,Q3
MT0000162219,0,Where Grass Won't Grow,Q3
MT0000164441,1,Angel Band,Q4
MT0000169174,0,9th Circle,Q2
MT0000169836,0,Return of da Don,Q2
MT0000171421,1,This Love,Q3
MT0000171852,1,You'll Never Know,Q3
MT0000174580,1,I Belong to You,Q1
MT0000175597,1,Joan of Arc,Q3
MT0000177878,1,It Had to Be You,Q4
MT0000185453,1,Once I Loved,Q3
MT0000185601,1,Hey Ya!,Q1
MT0000186467,0,Back to the Primitive,Q2
MT0000190640,0,My Wrathful Eyes,Q2
MT0000192913,0,If I Had,Q3
MT0000192982,0,Long Black Veil,Q3
MT0000195705,1,A Time for Us,Q4
MT0000197431,1,Plenty Good Lovin',Q1
MT0000202045,0,Exodus,Q4
MT0000214287,0,High on a Hilltop,Q3
MT0000216849,1,Get Outta My Life,Q2
MT0000218346,1,Moment Made for Worshipping,Q4
MT0000225806,1,I Need Your Love Tonight,Q1
MT0000231442,0,Sing Sing Death House,Q2
MT0000231784,0,Words Are Weapons,Q2
MT0000245808,1,"What'd I Say, Pt. 1",Q1
MT0000252574,1,What Am I Gonna Do (I'm So in Love With You),Q1
MT0000255724,1,Signal Fire,Q3
MT0000258223,1,Take My Hand Precious Lord,Q4
MT0000258646,0,I Sold Your Dog to a Chinese Restaurant,Q2
MT0000265621,1,Universal Traveller,Q4
MT0000268576,0,River of Tears,Q3
MT0000270200,0,Sunglasses at Night 2003,Q2
MT0000271454,1,"What'd I Say, Pts. 1 & 2",Q1
MT0000271970,0,Slaughterhouse Ways,Q2
MT0000273374,1,Happy-End,Q4
MT0000277032,0,Day-O (Banana Boat Song),Q4
MT0000277633,0,The Promise,Q3
MT0000283043,0,"Are You Okay, Kiddo?",Q2
MT0000287606,1,I Am the True Vine,Q4
MT0000287921,0,Stand as One and Fight for Glory,Q2
MT0000289116,1,I Can't Help It (If I'm Still in Love with You),Q3
MT0000292000,1,Love Me,Q4
MT0000293345,1,I Will Remember,Q3
MT0000299291,1,Heartland,Q3
MT0000310204,1,Joy,Q1
MT0000312152,1,Guess Things Happen That Way,Q3
MT0000315363,1,Nadine,Q1
MT0000315392,1,When You Smiled At Me,Q3
MT0000316110,0,Don't Blow Your Top,Q2
MT0000318206,0,Unbroken,Q2
MT0000318279,1,Stella by Starlight,Q4
MT0000320757,1,So Lonely,Q3
MT0000321394,0,Does This System Work,Q2
MT0000321824,1,Each Time (I Love You More),Q4
MT0000325093,1,Waiting for Tonight,Q1
MT0000335310,1,A Holly Jolly Christmas,Q4
MT0000348553,1,Scotch & Soda,Q4
MT0000353361,1,Southern California,Q3
MT0000369188,1,Land of Make Believe,Q1
MT0000370694,1,Shortnin' Bread,Q4
MT0000380307,1,Canadian Sunset,Q4
MT0000380971,1,When You Ain't Got Nobody,Q3
MT0000391566,0,Empty Landscape,Q4
MT0000398595,0,Touch the Hem of His Garment,Q4
MT0000408441,1,Give Me Back That Wig (Wig Wearing Woman),Q3
MT0000409922,1,Crush,Q4
MT0000419956,0,Victims,Q2
MT0000421504,0,More,Q4
MT0000425270,0,How to Survive in South Central,Q2
MT0000426880,1,Not Gonna Get Us,Q1
MT0000436815,1,Love Song for a Savior,Q4
MT0000441552,0,Station 5: The Pearl,Q2
MT0000446304,1,Why Spring Ain't Here,Q3
MT0000447539,1,O Come All Ye Faithful,Q4
MT0000456939,0,Come to Rest,Q2
MT0000460480,1,Isle of Capri,Q4
MT0000463371,0,Necrophiliac,Q2
MT0000475876,1,Get Right,Q1
