word,count
i,28027
the,24972
you,23321
and,14502
to,14084
a,13403
it,10827
me,10215
s,9485
my,9220
t,8700
in,8139
of,7052
that,6817
your,5777
on,5692
m,5229
all,4856
we,4839
is,4785
love,4561
for,4533
be,4243
can,3923
with,3815
so,3718
don,3716
like,3370
but,3291
what,3283
know,3226
no,3084
just,2990
this,2939
when,2923
up,2914
re,2793
do,2790
got,2756
ll,2751
now,2717
oh,2595
they,2556
get,2545
she,2484
if,2465
baby,2443
down,2252
there,2186
one,2176
